,Balance/P&L,Credit/Debit,Is acc. Account,What is the parent/acc. Account,Accounting types,,,,"Tax types (Gewerbe, Umsatz, Koest)",,,Allowed tax id,Overwrites tax id definitions if defined,Tax1,Tax2,,,,Tax report pos.,,,
979,,,,,,,,,,,,,,,,,,,,,Rückstellungen für Umweltschutz,Provisions for environmental protection
980,,,,,,,,,,,,,,,,,,,,,Aktive Rechnungsabgrenzung,Prepaid expenses
983,,,,,,,,,,,,,,,,,,,,,Aktive latente Steuern,Deferred tax assets
984,,,,,,,,,,,,,,,,,,,,,Aufwand Zölle und Verbrauchsteuern,Customs and excise duties relating to inventories and recognised as expenses
985,,,,,,,,,,,,,,,,,,,,,Aufwand Umsatzsteuer auf Anzahlungen,Value added tax relating to prepayments and recognised as expenses
986,,,,,,,,,,,,,,,,,,,,,Damnum/Disagio,Discount
987,,,,,,,,,,,,,,,,,,,,,Rechnungsabgrenzung neutrale Verrechnung,Deferred income (revenue reserves debit balance) from items taken directly to equity
988,,,,,,,,,,,,,,,,,,,,,Latente Steuern (S) neutrale Verrechnung,Deferred taxes (revenue reserves debit balance) from items taken directly to equity
989,,,,,,,,,,,,,,,,,,,,,Gesamthänderisch geb. Rücklagen (KKE),Collectively held reserves (with breakdown for statement of changes in capital accounts)
990,,,,,,,,,,,,,,,,,,,,,Passive Rechnungsabgrenzung,Deferred income
992,,,,,,,,,,,,,,,,,,,,,Abgrenzung unterjährige AfA für BWA,Deferrals of intra-period flat-rate depreciation charges for management accounting analysis
996,,,,,,,,,,,,,,,,,,,,,Pauschalwertberichtigung Forderg./b.1J,Global valuation allowance on receivables remaining term up to 1 year
997,,,,,,,,,,,,,,,,,,,,,Pauschalwertberichtigung Forderg./g.1J,Global valuation allowance on receivables remaining term greater than 1 year
998,,,,,,,,,,,,,,,,,,,,,Einzelwertberichtigung Forderung(b.1J),Specific valuation allowances on receivables remaining term up to 1 year
999,,,,,,,,,,,,,,,,,,,,,Einzelwertberichtigung Forderung(g.1J),Specific valuation allowances on receivables remaining term greater than 1 year
1000,,,,,,,,,,,,,,,,,,,,,Kasse,Cash in hand
1010,,,,,,,,,,,,,,,,,,,,,Nebenkasse 1,Petty cash 1
1020,,,,,,,,,,,,,,,,,,,,,Nebenkasse 2,Petty cash 2
1100,,,,,,,,,,,,,,,,,,,,,Bank (Postbank),Bank 1 (old)
1110,,,,,,,,,,,,,,,,,,,,,Bank (Postbank 1),Bank 2 (old)
1120,,,,,,,,,,,,,,,,,,,,,Bank (Postbank 2),Bank 3 (old)
1130,,,,,,,,,,,,,,,,,,,,,Bank (Postbank 3),Bank 4 (old)
1190,,,,,,,,,,,,,,,,,,,,,LZB-Guthaben,LZB (Bundesbank regional office) balances
1195,,,,,,,,,,,,,,,,,,,,,Bundesbankguthaben,Central bank balances
1200,,,,,,,,,,,,,,,,,,,,,Bank 1,Bank 1
1210,,,,,,,,,,,,,,,,,,,,,Bank 2,Bank 2
1220,,,,,,,,,,,,,,,,,,,,,Bank 3,Bank 3
1230,,,,,,,,,,,,,,,,,,,,,Bank 4,Bank 4
1240,,,,,,,,,,,,,,,,,,,,,Bank 5,Bank 5
1250,,,,,,,,,,,,,,,,,,,,,Bank 6,Bank 6
1290,,,,,,,,,,,,,,,,,,,,,Finanzmittelanlagen kurzfr. Disposition,"Cash investments, short-term cash management (not contained in cash funds)"
1295,,,,,,,,,,,,,,,,,,,,,Verb. gg Kreditinst. (n. Finanzmittelf.),Liabilities to banks (not included in cash funds)
1300,,,,,,,,,,,,,,,,,,,,,Wechsel aus Lieferung und Leistung,Bills receivable
1301,,,,,,,,,,,,,,,,,,,,,Wechsel a. Lieferungen/Leistungen b.1 J,Bills receivable remaining term up to 1 year
1302,,,,,,,,,,,,,,,,,,,,,Wechsel a. Lieferungen/Leistungen g.1 J,Bills receivable remaining term greater than 1 year
1305,,,,,,,,,,,,,,,,,,,,,Wechsel aus L+L bundesbankfähig,"Bills receivable, eligible for discount with central bank"
1310,,,,,,,,,,,,,,,,,,,,,Besitzwechsel gegen verbund. Unternehmen,Bills receivable from affiliated companies
1311,,,,,,,,,,,,,,,,,,,,,Besitzwechsel gegen verbundene UN (b.1J),Bills receivable from affiliated companies remaining term up to 1 year
1312,,,,,,,,,,,,,,,,,,,,,Besitzwechsel gegen verbundene UN (g.1J),Bills receivable from affiliated companies remaining term greater than 1 year
1315,,,,,,,,,,,,,,,,,,,,,"Besitzwechs.gg.verb.UN, bundesbankfähig","Bills receivable from affiliated companies, eligible for discount with central bank"
1320,,,,,,,,,,,,,,,,,,,,,Besitzwechsel gg.UN m. Beteiligungsverh.,Bills receivable from other long-term investees and investors
1321,,,,,,,,,,,,,,,,,,,,,Besitzwechsel gg.UN m.Beteiligg.verh.b1J,Bills receivable from other long-term investees and investors remaining term up to 1 year
1322,,,,,,,,,,,,,,,,,,,,,Besitzwechsel gg.UN m.Beteiligg.verh.g1J,Bills receivable from other long-term investees and investors remaining term greater than 1 year
1325,,,,,,,,,,,,,,,,,,,,,Besitzwechsel gg.UN m.Beteiligg.verh.bbf,"Bills receivable from other long-term investees and investors, eligible for discount with central bank"
1327,,,,,,,,,,,,,,,,,,,,,Finanzwechsel,Finance bills
1329,,,,,,,,,,,,,,,,,,,,,Wertpap. mit geringen Wertschwankungen,Other securities subject to immaterial changes in value
1330,,,,,,,,,,,,,,,,,,,,,Schecks,Cheques
1340,,,,,,,,,,,,,,,,,,,,,Anteile an verbundenen Unternehmen (UV),Shares in affiliated companies (current assets)
1344,,,,,,,,,,,,,,,,,,,,,Anteile a. herrschend. Gesellschaft (UV),Shares in parent or in majority investor
1348,,,,,,,,,,,,,,,,,,,,,Sonstige Wertpapiere,Other securities
1349,,,,,,,,,,,,,,,,,,,,,Wertpapieranlagen kurzfr. Disposition,Securities investments (short-term cash management)
1350,,,,,,,,,,,,,,,,,,,,,GmbH-Anteile z.kurzfristigen Verbleib,GmbH shares held for sale
1352,,,,,,,,,,,,,,,,,,,,,Genossenschaftsanteile z.kfr.Verbleib,Shares in cooperatives held for sale
1353,,,,,,,,,,,,,,,,,,,,,VermG z. Erfüllung langfr.Verpflichtung,Assets to settle obligations comparable to post-employment benefits
1354,,,,,,,,,,,,,,,,,,,,,VermG z. Saldierung langfr.Verpflichtung,Assets for offsetting with obligations comparable to post-employment benefits under s. 246(2) of the HGB
1355,,,,,,,,,,,,,,,,,,,,,Ansprüche a. Rückdeckungsversicherung,Pension liability insurance claims
1356,,,,,,,,,,,,,,,,,,,,,VermG zur Erfüllung Pensionsrückstellung,Long-term assets for the settlement of provisions for pensions and similar obligations
1357,,,,,,,,,,,,,,,,,,,,,VermG Saldierung Pensionsrückstellung,Long-term assets for offsetting provisions for pensions and similar obligations in accordance with section 246(2) HGB
1360,,,,,,,,,,,,,,,,,,,,,Geldtransit,Cash in transit
1371,,,,,,,,,,,,,,,,,,,,,Verr.Kto § 4 (3) EStG nicht ergebnisw.,"Clearing account for determining profit as per section 4/3 (EStG), not recognized in income"
1372,,,,,,,,,,,,,,,,,,,,,Wirtschaftsgüter UV § 4 (3) EStG,Current assets in accordance with section 4(3) sentence 4 EStG
1373,,,,,,,,,,,,,,,,,,,,,"Forderung gg.Kommanditist, atyp.st.Ges.",
1374,,,,,,,,,,,,,,,,,,,,,"Forderung gg.Komm., atyp.st. Ges.er b1J",
1375,,,,,,,,,,,,,,,,,,,,,"Forderung gg.Komm., atyp.st. Ges.er g1J",
1376,,,,,,,,,,,,,,,,,,,,,Forderungen gg. typisch stille Ges.er,Receivables from typical silent partners
1377,,,,,,,,,,,,,,,,,,,,,"Forderungen gg. typ.stille Ges.er, b1J",Receivables from typical silent partners remaining term up to 1 year
1378,,,,,,,,,,,,,,,,,,,,,"Forderungen gg. typ.stille Ges.er, g1J",Receivables from typical silent partners remaining term greater than 1 year
1380,,,,,,,,,,,,,,,,,,,,,Überleitung Kostenstellen,Cost centre reconciliation account
1381,,,,,,,,,,,,,,,,,,,,,Forderungen gegen GmbH-Gesellschafter,Receivables from GmbH shareholders
1382,,,,,,,,,,,,,,,,,,,,,"Forderungen gegen GmbH-Ges.er, b1J",Receivables from GmbH shareholders remaining term up to 1 year
1383,,,,,,,,,,,,,,,,,,,,,"Forderungen gegen GmbH-Ges.er, g1J",Receivables from GmbH shareholders remaining term greater than 1 year
1385,,,,,,,,,,,,,,,,,,,,,Forderungen gg. persönl.haftende Ges.er,Receivables from general partners
1386,,,,,,,,,,,,,,,,,,,,,"Forderungen gg. persönl.haft. Ges., b1J",Receivables from general partners remaining term up to 1 year
1387,,,,,,,,,,,,,,,,,,,,,"Forderungen gg. persönl.haft. Ges., g1J",Receivables from general partners remaining term greater than 1 year
1389,,,,,,,,,,,,,,,,,,,,,Anspruch Altersvers./Pension Mituntern.,Occupational pension and other post-employment benefit entitlements (partners)
1390,,,,,,,,,,,,,,,,,,,,,Verrechnung Ist-Versteuerung,Clearing account actual taxation
1391,,,,,,,,,,,,,,,,,,,,,Neutralis.ertragsw. Sachv.§ 4 (3) EStG,Neutralization of items recognized in income for Section 4 (3) EStG
1394,,,,,,,,,,,,,,,,,,,,,Forderungen gg. Gesellschaft/Gesamthand,Receivables from company/joint ownership
1400,,,,,,,,,,,,,,,,,,,,,Forderungen aus L+L,Trade receivables
1401,,,,,,,,,,,,,,,,,,,,,Forderungen aus L+L,Trade receivables
1402,,,,,,,,,,,,,,,,,,,,,Forderungen aus L+L,Trade receivables
1410,,,,,,,,,,,,,,,,,,,,,Forderungen aus L+L ohne Kontokorrent,"Trade receivables, no separate receivables/payables accounting"
1445,,,,,,,,,,,,,,,,,,,,,Forderungen L+L allg. Steuersatz (EÜR),Trade receivables at general VAT rate or of a VAT-exempt small business (cash basis accounting)
1446,,,,,,,,,,,,,,,,,,,,,Forderungen a. L+L erm.Steuersatz (EÜR),Trade receivables at reduced VAT rate (cash basis accounting)
1447,,,,,,,,,,,,,,,,,,,,,"Forderung. aus stfr.,n.stbaren L+L (EÜR)",Tax-exempt or untaxed trade receivables (cash basis accounting)
1448,,,,,,,,,,,,,,,,,,,,,Forderungen aus L+L nach § 24 UStG (EÜR),if receivables are classified by tax rates
1449,,,,,,,,,,,,,,,,,,,,,Gegenkto Aufteilung Forderungen L+L(EÜR),Contra account 1445-1448 if receivables are classified by tax rates (cash basis accounting)
1450,,,,,,,,,,,,,,,,,,,,,Forderungen n. § 11 Abs.1 S.2 EStG (EÜR),Receivables under section 11 (1) sentence 2 EStG for section 4/3 EStG
1451,,,,,,,,,,,,,,,,,,,,,Forderg.a. Lieferungen/Leistungen b.1 J,"Trade receivables, no separate receivables/payables accounting remaining term up to 1 year"
1455,,,,,,,,,,,,,,,,,,,,,Forderg.a. Lieferungen/Leistungen g.1 J,"Trade receivables, no separate receivables/payables accounting remaining term greater 1 year"
1460,,,,,,,,,,,,,,,,,,,,,Zweifelhafte Forderungen,Doubtful receivables
1461,,,,,,,,,,,,,,,,,,,,,Zweifelhafte Forderungen (bis 1 Jahr),Doubtful receivables remaining term up to 1 year
1465,,,,,,,,,,,,,,,,,,,,,Zweifelhafte Forderungen (g. 1 Jahr),Doubtful receivables remaining term greater than 1 year
1470,,,,,,,,,,,,,,,,,,,,,Forderungen aus L+L gg. verbundene UN,Trade receivables from affiliated companies
1471,,,,,,,,,,,,,,,,,,,,,Forderungen aus L+L gg. verbund. UN b.1J,Trade receivables from affiliated companies remaining term up to 1 year
1475,,,,,,,,,,,,,,,,,,,,,Forderungen aus L+L gg. verbund. UN g.1J,Trade receivables from affiliated companies remaining term greater than 1 year
1478,,,,,,,,,,,,,,,,,,,,,WB Forderungen gg. verbundene UN (b.1J),Valuation allowances on receivables from affiliated companies remaining term up to 1 year
1479,,,,,,,,,,,,,,,,,,,,,WB Forderungen gg. verbundene UN (g.1J),Valuation allowances on receivables from affiliated companies remaining term greater than 1 year
1480,,,,,,,,,,,,,,,,,,,,,Forderg. L+L gg.UN m. Beteiligungsverh.,Trade receivables from other long-term investees and investors
1481,,,,,,,,,,,,,,,,,,,,,Forderg. L+L gg.UN m.Beteiligg.verh.b1J,Trade receivables from other long-term investees and investors remaining term up to 1 year
1485,,,,,,,,,,,,,,,,,,,,,Forderg. L+L gg.UN m.Beteiligg.verh.g1J,Trade receivables from other long-term investees and investors remaining term greater than 1 year
1488,,,,,,,,,,,,,,,,,,,,,WB Forderg.gg.UN m.Beteiligg.verh. b.1J,Valuation allowances on receivables from other long-term investees and investors remaining term up to 1 year
1489,,,,,,,,,,,,,,,,,,,,,WB Forderg.gg.UN m.Beteiligg.verh. g.1J,Valuation allowances on receivables from other long-term investees and investors remaining term greater than 1 year
1490,,,,,,,,,,,,,,,,,,,,,Forderungen aus L+L gg. Gesellschafter,Trade receivables from shareholders/partners
1491,,,,,,,,,,,,,,,,,,,,,Forderg. aus L+L gg.Gesellschafter b.1 J,Trade receivables from shareholders/partners remaining term up to 1 year
1495,,,,,,,,,,,,,,,,,,,,,Forderg. aus L+L gg.Gesellschafter g.1 J,Trade receivables from shareholders/partners remaining term greater than 1 year
1498,,,,,,,,,,,,,,,,,,,,,Gegenkonto sonst.VG bei Buchung Debitor,Contra account for other assets if posted via receivables account
1499,,,,,,,,,,,,,,,,,,,,,Gegenkonto bei Aufteilung Debitoren,Contra account 1451-1497 if allocated to receivables account
1500,,,,,,,,,,,,,,,,,,,,,Sonstige Vermögensgegenstände,Other assets
1501,,,,,,,,,,,,,,,,,,,,,Sonstige Vermögensgegenstände (b.1 J),Other assets remaining term up to 1 year
1502,,,,,,,,,,,,,,,,,,,,,Sonstige Vermögensgegenstände (g.1 J),Other assets remaining term greater than 1 year
1503,,,,,,,,,,,,,,,,,,,,,Forderungen gg. Geschäftsf.(b.1J),Receivables from executive board members and managing directors
1504,,,,,,,,,,,,,,,,,,,,,Forderungen gg. Geschäftsf.(g.1J),Receivables from executive board members and managing directors
1505,,,,,,,,,,,,,,,,,,,,,Forderungen gg. Aufsichtsratsm. (b.1 J),Receivables from supervisory and advisory board members remaining term up to 1 year
1506,,,,,,,,,,,,,,,,,,,,,Forderungen gg. Aufsichtsratsm. (g.1 J),Receivables from supervisory and advisory board members remaining term greater than 1 year
1507,,,,,,,,,,,,,,,,,,,,,"Forderungen gegen sonstige Ges.er, b1J",Receivables from other shareholders remaining term up to 1 year
1508,,,,,,,,,,,,,,,,,,,,,"Forderungen gegen sonstige Ges.er, g1J",Receivables from other shareholders remaining term greater than 1 year
1510,,,,,,,,,,,,,,,,,,,,,Geleistete Anzahlungen auf Vorräte,Prepayments for inventories
1511,,,,,,,,,,,,,,,,,,,,,Geleistete Anzahlungen 7% Vorsteuer,"Prepayments, 7 % input"
1512,,,,,,,,,,,,,,,,,,,,,Geleistete Anzahlungen 5% Vorsteuer,"Prepayments, 5 % input"
1517,,,,,,,,,,,,,,,,,,,,,Geleistete Anzahlungen 16% Vorsteuer,"Prepayments, 16 % input tax"
1518,,,,,,,,,,,,,,,,,,,,,Geleistete Anzahlungen 19% Vorsteuer,"Prepayments, 19 % input tax"
1519,,,,,,,,,,,,,,,,,,,,,Forderungen gg. Arbeitsgemeinschaften,Receivables from project consortiums
1520,,,,,,,,,,,,,,,,,,,,,Forderungen ggb. Krankenkasse aus AAG,Receivables from health insurance funds from Act on Reimbursement of Employers' Expenses (AAG)
1521,,,,,,,,,,,,,,,,,,,,,Agenturwarenabrechnung (sonstige VermG),Consignment goods accounts
1522,,,,,,,,,,,,,,,,,,,,,Genussrechte,Profit participation rights
1524,,,,,,,,,,,,,,,,,,,,,Einzahl.anspruch zu Nebenleist/Zuzahlung,Supplementary payments or additional contributions receivable
1525,,,,,,,,,,,,,,,,,,,,,Kautionen,Security deposits
1526,,,,,,,,,,,,,,,,,,,,,Kautionen (bis 1 J),Security deposits remaining term up to 1 year
1527,,,,,,,,,,,,,,,,,,,,,Kautionen (größer 1 J),Security deposits remaining term greater than 1 year
1528,,,,,,,,,,,,,,,,,,,,,Nachträgl. abz. Vorsteuer § 15a (2) UStG," Subsequently deductible input tax, section 15a(2) UStG"
1529,,,,,,,,,,,,,,,,,,,,,Zurückzuzahlende Vorsteuer §15a (2) UStG,"Repayable input tax, section 15a(2) UStG"
1530,,,,,,,,,,,,,,,,,,,,,Forderg. gg. Personal Lohn- und Gehalt,Receivables from employees (payroll)
1531,,,,,,,,,,,,,,,,,,,,,Forderungen gegen Personal (bis 1Jahr),Receivables from employees (payroll) remaining term up to 1 year
1537,,,,,,,,,,,,,,,,,,,,,Forderungen gegen Personal (g. 1Jahr),Receivables from employees (payroll) remaining term greater than 1 year
1540,,,,,,,,,,,,,,,,,,,,,Forderung aus Gewerbesteuerüberzahlung,Receivables from trade tax overpayments
1542,,,,,,,,,,,,,,,,,,,,,Steuererst.anspruch gegen andere Länder,Tax refund claims against other countries
1543,,,,,,,,,,,,,,,,,,,,,Forderg. an FA aus abgeführtem Bauabzug,Receivables from tax authorities for construction withholding tax remitted
1544,,,,,,,,,,,,,,,,,,,,,Forderung gegenüber Bundesagentur,Receivables from Bundesagentur für Arbeit
1545,,,,,,,,,,,,,,,,,,,,,Forderungen USt-Vorauszahlungen,Accounts receivable from VAT advance payments
1546,,,,,,,,,,,,,,,,,,,,,Umsatzsteuerforderungen Vorjahr,"VAT receivables, previous year"
1547,,,,,,,,,,,,,,,,,,,,,Forderungen aus Verbrauchsteuern,Receivables from excise duties paid
1548,,,,,,,,,,,,,,,,,,,,,Vorst. in Folgeperiode /-jahr abziehbar,Input tax deductible in following period/year
1549,,,,,,,,,,,,,,,,,,,,,Körperschaftsteuerrückforderung,Reclaimed corporate income tax
1550,,,,,,,,,,,,,,,,,,,,,Darlehen (sonstige VermG),Loans
1551,,,,,,,,,,,,,,,,,,,,,Darlehen Rlz bis 1 J. (sonstige VermG),Loans remaining term up to 1 year
1555,,,,,,,,,,,,,,,,,,,,,Darlehen Rlz > 1 J. (sonstige VermG),Loans remaining term greater than 1 year
1556,,,,,,,,,,,,,,,,,,,,,"Nachträgl. abz. Vorsteuer, bewegl. WG","Subsequently deductible input tax, section 15a(1) UStG, movable assets"
1557,,,,,,,,,,,,,,,,,,,,,"Zurückzuzahlende Vorsteuer, bewegl.WG","Repayable input tax, section 15a(1) UStG, movable assets"
1558,,,,,,,,,,,,,,,,,,,,,"Nachträgl. abz. Vorsteuer, unbewegl. WG","Subsequently deductible input tax, section 15a(1) UStG, immovable property"
1559,,,,,,,,,,,,,,,,,,,,,"Zurückzuzahl. Vorsteuer, unbewegl. WG","Repayable input tax, section 15a(1) UStG, immovable property"
1560,,,,,,,,,,,,,,,,,,,,,Aufzuteilende Vorsteuer,Input tax allocation accounts
1561,,,,,,,,,,,,,,,,,,,,,Aufzuteilende Vorsteuer 7%,"Input tax allocation account, 7 %"
1562,,,,,,,,,,,,,,,,,,,,,Aufzuteilende Vorsteuer aus EU-Erwerb,Allocation account for input tax on intra-European Union acquisitions
1563,,,,,,,,,,,,,,,,,,,,,Aufzuteil. Vorsteuer aus EU-Erwerb 19%,"Allocation account for input tax on intra-European Union acquisitions, 19 %"
1564,,,,,,,,,,,,,,,,,,,,,Aufzuteilende Vorsteuer 5%,"Input tax allocation account, 5 %"
1565,,,,,,,,,,,,,,,,,,,,,Aufzuteilende Vorsteuer 16%,"Input tax allocation account, 16 %"
1566,,,,,,,,,,,,,,,,,,,,,Aufzuteilende Vorsteuer 19%,"Input tax allocation account, 19 %"
1567,,,,,,,,,,,,,,,,,,,,,Aufzuteil. Vorsteuer §§ 13a/13b UStG,Input tax allocation account under sections 13a and 13b UStG
1568,,,,,,,,,,,,,,,,,,,,,Abziehbare Vorsteuer 5%,"Deductible input tax, 5"
1569,,,,,,,,,,,,,,,,,,,,,Aufzuteil. Vorsteuer §§13a/13b UStG 19%,"Input tax allocation account under sections 13a and 13b UStG, 19 %"
1570,,,,,,,,,,,,,,,,,,,,,Abziehbare Vorsteuer,Deductible input tax
1571,,,,,,,,,,,,,,,,,,,,,Abziehbare Vorsteuer 7%,"Deductible input tax, 7 %"
1572,,,,,,,,,,,,,,,,,,,,,Abziehbare Vorsteuer aus EU-Erwerb,Deductible input tax on intra-European Union acquisitions
1573,,,,,,,,,,,,,,,,,,,,,Vorst.letzter Abnehmer Dreiecksgeschäft,Input tax from acquisition as last purchaser in a triangular transaction
1574,,,,,,,,,,,,,,,,,,,,,Abziehbare Vorsteuer aus EU-Erwerb 19%,"Deductible input tax on intra-European Union acquisitions, 19 %"
1575,,,,,,,,,,,,,,,,,,,,,Abziehbare Vorsteuer 16%,"Deductible input tax, 16 %"
1576,,,,,,,,,,,,,,,,,,,,,Abziehbare Vorsteuer 19%,"Deductible input tax, 19 %"
1577,,,,,,,,,,,,,,,,,,,,,Abziehbare Vorsteuer § 13b UStG 19%,"Deductible input tax under section 13b UStG, 19 %"
1578,,,,,,,,,,,,,,,,,,,,,Abziehbare Vorsteuer § 13b UStG,Deductible input tax under section 13b UStG
1579,,,,,,,,,,,,,,,,,,,,,Abziehbare Vorsteuer § 13b UStG 16%,"Deductible input tax under section 13b UStG, 16 %"
1580,,,,,,,,,,,,,,,,,,,,,Gegenkonto Vorsteuer § 4 (3) EStG,"Contra account for input tax, section 4(3) EStG"
1581,,,,,,,,,,,,,,,,,,,,,Auflösung Vorsteuer Vorjahr § 4 (3) EStG,"Reversal of input tax from previous year, section 4(3) EStG"
1582,,,,,,,,,,,,,,,,,,,,,Vorsteuer aus Investitionen § 4 (3) EStG,"Input tax from investments, section 4(3) EStG"
1583,,,,,,,,,,,,,,,,,,,,,Gegenkto. Vorsteuer Durchschnittssätze,"Contra account for input tax, average rates, section 4(3) EStG"
1584,,,,,,,,,,,,,,,,,,,,,Vorsteuer EU-Erwerb neue Kfz ohne UStID,Deductible input tax for intra-European Union acquisition of new vehicles from suppliers without VAT identification number
1585,,,,,,,,,,,,,,,,,,,,,Abziehbare Vorsteuer § 13a UStG,Deductible input tax for withdrawal of goods from a VAT warehouse
1587,,,,,,,,,,,,,,,,,,,,,Vorsteuer allgem. Durchschnittssätze,"Input tax, general average rates, VAT return line 63"
1588,,,,,,,,,,,,,,,,,,,,,Einfuhrumsatzsteuer,Acquisition tax liability
1589,,,,,,,,,,,,,,,,,,,,,Abziehbare Vorsteuer aus EU-Erwerb 16%,"Deductible input tax on intra-European Union acquisitions, 16 %"
1590,,,,,,,,,,,,,,,,,,,,,Durchlaufende Posten,Items in transit
1592,,,,,,,,,,,,,,,,,,,,,Fremdgeld,Third-party funds
1593,,,,,,,,,,,,,,,,,,,,,Verrechnung erhaltene Anzahlungen,Allocation account for payments received on account of orders if posted via receivables account
